sample_ID,date,site_name,source,d18O,d2H,lat,lon,cluster_location_time,county,elevation
200.01,7/30/2018,"Pizza Hut on
Chillcothe rd &
Mayfield OH tap",GW,-10.27,-67.53,41.52306667,-81.33858333,Cleveland_Jul-Aug-18,Geauga,360
189,1/3/2018,Burger King at 44 & rt 2 Heisley Rd & diamond center Rd tap,Lake Erie,-6.500387364,-49.20126483,41.71511111,-81.29967222,Cleveland_Jan-Mar-18,Lake,190
122,1/12/2018,"Long Science Center
Tap Water",GW,-6.23,-40.3,41.61445,-81.29389444,Cleveland_Jan-Mar-18,Geauga,307
122.01,7/21/2018,"Long Science Center
Tap Water",GW,-9.96,-64.7,41.61445,-81.29389444,Cleveland_Jul-Aug-18,Geauga,307
126,1/1/2018,"Marathon Gas
station corner of 44
and 224 Randolph,
OH, Tap",GW,-9.17,-59.35,41.02963889,-81.24863056,Cleveland_Jan-Mar-18,Portage,352
126.01,7/28/2018,"Marathon Gas
station corner of 44
and 224 Randolph,
OH, Tap",GW,-8.89,-57.75,41.02963889,-81.24863056,Cleveland_Jul-Aug-18,Portage,352
125,1/1/2018,"Speedway gas
station corner Lynn
and Prospect
Rootstown, OH Tap",GW,-8.58,-57.6,41.11084722,-81.24344444,Cleveland_Jan-Mar-18,Portage,334
125.01,7/28/2018,"Speedway gas
station corner Lynn
and Prospect
Rootstown, OH Tap",GW,-8.73,-58.15,41.11084722,-81.24344444,Cleveland_Jul-Aug-18,Portage,334
124,1/1/2018,"Clark gas station corner of Lake and Prospect Ravenna, OH tap water grab",,-9.02,-59.79,41.14751944,-81.24178611,Cleveland_Jan-Mar-18,Portage,337
224,2/4/2018,"Shell Gas station at
33 & 82 Tap grab",GW,-9.69,-63.09,41.31066389,-81.22136111,Cleveland_Jan-Mar-18,Portage,367
224.01,8/4/2018,"Shell Gas station at
33 & 82 Tap grab",GW,-9.65,-63.03,41.31066389,-81.22136111,Cleveland_Jul-Aug-18,Portage,367
193,1/4/2018,"Baitshop on corner
og Washington ST &
ravenna Rd/ 44
Auburn corner OH
business for sale Tap",GW,-9.56,-62.14,41.38706111,-81.21658611,Cleveland_Jan-Mar-18,Geauga,364
